id;date_debut;date_fin;tache_id;cadre_id
1;2021-07-17T17:46:25;2021-07-17T12:33:34;1;1
2;2021-07-17T05:00:08;2021-07-17T10:04:48;2;2
3;2021-07-17T10:58:51;2021-07-17T06:26:10;3;3
4;2021-07-17T06:35:36;2021-07-17T01:44:53;4;4
5;2021-07-17T08:23:37;2021-07-17T18:50:33;5;5
6;2021-07-17T01:28:47;2021-07-17T01:28:00;6;6
7;2021-07-17T12:39:47;2021-07-17T13:01:02;7;7
8;2021-07-17T17:04:49;2021-07-17T07:18:51;8;8
9;2021-07-17T02:54:37;2021-07-17T00:25:22;9;9
10;2021-07-17T09:57:25;2021-07-17T03:12:26;10;10
