id;intitule;date_limite;description;etat;date_debut;date_fin
1;Chips;2021-07-18T19:48:24;calculating quantifying rich;NonCommence;2021-07-18T21:21:46;2021-07-19T10:20:34
2;program Ergonomic monitoring;2021-07-18T17:24:46;Grocery;NonCommence;2021-07-19T12:52:57;2021-07-19T10:05:41
3;Panoramas project interface;2021-07-18T16:39:22;Poitou-Charentes;Termine;2021-07-18T23:46:12;2021-07-19T01:39:49
4;interface;2021-07-19T03:35:22;Account;Refuse;2021-07-18T20:18:13;2021-07-19T13:28:49
5;navigate d'Orsel;2021-07-19T15:05:46;Loan cross-platform Bedfordshire;NonCommence;2021-07-19T03:12:57;2021-07-18T18:53:48
6;portals Zimbabwe overriding;2021-07-18T16:02:44;synthesize action-items bluetooth;NonCommence;2021-07-19T13:32:31;2021-07-18T16:18:23
7;Agent Stagiaire support;2021-07-18T23:56:41;deploy Chips budgetary;Termine;2021-07-19T15:28:38;2021-07-19T08:07:42
8;Garden;2021-07-19T10:51:20;Rhône-Alpes tan b;Abondonne;2021-07-19T09:14:46;2021-07-19T03:59:40
9;Handmade;2021-07-19T14:54:09;collaboration transmitting a;Refuse;2021-07-19T03:32:29;2021-07-18T17:41:58
10;XML model Poitou-Charentes;2021-07-18T23:32:44;Toys blue Shirt;Encours;2021-07-19T13:49:44;2021-07-18T19:37:33
